rating,image,name
4.5,//dimg11.c-ctrip.com/images/t1/hotel/1290000/1289590/465b1b7b207b4d339080e135f140aadf_R_130_130.jpg,Rose Boutique Hotel-Ximen
4.8,//dimg11.c-ctrip.com/images/fd/hotel/g1/M03/B4/C9/CghzfVWofzWAQLaOAAB03G1P48Y743_R_130_130.jpg,Muses2 Taipei
4.3,//dimg10.c-ctrip.com/images/2003060000001opsd8EC8_R_130_130.jpg,mulan city villa motel
4.3,//dimg11.c-ctrip.com/images/200d0800000039sbxD231_R_130_130.jpg,开封馆
,//dimg12.c-ctrip.com/images/200j0h0000008v6stFBA0_R_130_130.jpg,
4.2,//dimg12.c-ctrip.com/images/200g050000000mysm4B9E_R_130_130.jpg,DAHSHIN HOTEL
4.7,//dimg12.c-ctrip.com/images/200k060000001ot7vA2D1_R_130_130.jpg,K-Hotel Songjiang
4.4,//dimg11.c-ctrip.com/images/fd/hotel/g3/M0A/5E/7B/CggYGlYI29GAbcWXAABpyhCatPk949_R_130_130.jpg,Forte Orange Hotel- Linsen
4.2,//dimg12.c-ctrip.com/images/2008060000001j0ef4CE8_R_130_130.jpg,Lotus Garden Hotel
4.7,//dimg12.c-ctrip.com/images/fd/hotel/g4/M08/FB/6E/CggYHFX_7nCAehIiAAG19OQVsA0027_R_130_130.jpg,衡阳馆
4.7,//dimg10.c-ctrip.com/images/200b090000003xobe2411_R_130_130.jpg,Hotel June
4.2,//dimg13.c-ctrip.com/images/fd/hotel/g4/M01/FB/4D/CggYHFXcIdqANBI1AAEskqdL1ck883_R_130_130.jpg,Chair Man Hotel
4.7,//dimg13.c-ctrip.com/images/fd/hotel/g5/M09/0F/B2/CggYsVb0IQSAO2PbAAOx6IbF_Ks132_R_130_130.jpg,Hotel Relax II
3.9,//dimg10.c-ctrip.com/images/200c0g00000086yysD35A_R_130_130.jpg,JIA RONG HOSTEL
4.5,//dimg10.c-ctrip.com/images/hotel/481000/480089/560263835d3241ecb4d89944325baa63_R_130_130.jpg,Miyi Hotel
4.6,//dimg10.c-ctrip.com/images/fd/hotel/g3/M04/F5/1D/CggYGVXbynSANExCAAFPdmUN9PE939_R_130_130.jpg,Chaiin Hotel - Dongmen
4.4,//dimg13.c-ctrip.com/images/fd/hotel/g2/M0B/9A/50/CghzgVWDxaCAM6GuAAESnhutwJE157_R_130_130.jpg,Hotel B7
4.7,//dimg12.c-ctrip.com/images/200l08000000309961DEC_R_130_130.jpg,DANDY DAAN HOTEL
4.5,//dimg11.c-ctrip.com/images/200s0c0000006488098CC_R_130_130.jpg,台北天津店
4.2,//dimg13.c-ctrip.com/images/2002050000000o4eb095B_R_130_130.jpg,Taipei M Hotel- Main Station
4.7,//dimg12.c-ctrip.com/images/t1/hotel/1182000/1181758/e28830f883c7436b9a7b8585a6899f97_R_130_130.jpg,HOMEY HOUSE
4.3,//dimg13.c-ctrip.com/images/fd/hotel/g4/M09/FC/D3/CggYHFXubmaABjj3AAQLFwfUWio193_R_130_130.jpg,Royal Hotel
4.5,//dimg11.c-ctrip.com/images/t1/hotel/994000/993468/13e714fbb465445ba3175f13206cc7df_R_130_130.jpg,台北西门捷运店
4.5,//dimg13.c-ctrip.com/images/20020f0000007bb3nACE4_R_130_130.jpg,原谦商旅
4.7,//dimg10.c-ctrip.com/images/hotel/929000/928536/6e9e08c46b5e479e837f2a6bcd3a5e2c_R_130_130.jpg,San Want Residences Taipei
4.3,//dimg12.c-ctrip.com/images/fd/hotel/g5/M05/18/88/CggYsVb0ZH6AKpNlAAZGnUK_7RM903_R_130_130.jpg,Dongmen Hotel
4.7,//dimg13.c-ctrip.com/images/200r0h0000008tdwwA5C8_R_130_130.jpg,Urtrip Hotel
4.3,//dimg12.c-ctrip.com/images/fd/hotel/g4/M08/64/C6/CggYHFawO-OAUqXvABB06v8oe0Y261_R_130_130.jpg,Diary of Taipei I
4.7,//dimg12.c-ctrip.com/images/200o060000001oomaE40A_R_130_130.jpg,庆城馆
4.7,//dimg10.c-ctrip.com/images/hotel/91000/90601/a98b19935c8f4a87a5ac2701e6582533_R_130_130.jpg,The  Landis Taipei Hotel
4.6,//dimg12.c-ctrip.com/images/200g060000001ro7343D6_R_130_130.jpg,Bayman Hotel
4.5,//dimg10.c-ctrip.com/images/fd/hotel/g2/M02/2E/5C/Cghzf1VMdK2AO6d9ABrZZe32De4896_R_130_130.jpg,Le Meridien Taipei
3.9,//dimg12.c-ctrip.com/images/20080d0000006vss23845_R_130_130.jpg,Meistay
4.9,//dimg10.c-ctrip.com/images/fd/hotel/g6/M07/C5/54/CggYslczn4-AX5teAADJAonTOtQ073_R_130_130.jpg,Lane To Life Apartment
4.1,//dimg12.c-ctrip.com/images/t1/hotel/1100000/1099445/6cf98194e7244a87bcbaac66b05d4479_R_130_130.jpg,Atami Hotel Taipei Onsen
4.6,//dimg13.c-ctrip.com/images/200m060000001j896D3FC_R_130_130.jpg,Huashe Hotel
4.4,//dimg12.c-ctrip.com/images/fd/hotel/g6/M00/8E/E0/CggYs1c1w9mAHEcGAAYWtrnlEg4694_R_130_130.jpg,Hotel Relax
4.3,//dimg13.c-ctrip.com/images/fd/hotel/g2/M02/30/F7/CghzgVV_lhiAFOVVAAF5Fq7ybH8437_R_130_130.jpg,Landis Resort Yangmingshan
4.7,//dimg13.c-ctrip.com/images/200h070000002qxks0B4C_R_130_130.jpg,Hotel éclat
4.4,//dimg11.c-ctrip.com/images/2009060000001oqqw1E01_R_130_130.jpg,ColorMix Hotel & Hostel
4.7,//dimg12.c-ctrip.com/images/hotel/860000/859733/1f7a663791704974b4b7e1c9128dfc05_R_130_130.jpg,台北南西馆
5.0,//dimg11.c-ctrip.com/images/200s0g00000086qsx06D1_R_130_130.jpg,Uinn Business Hotel Shilin
4.6,//dimg12.c-ctrip.com/images/200k0c00000066ef7315C_R_130_130.jpg,台北长安122馆
3.7,//dimg10.c-ctrip.com/images/t1/hotel/702000/701394/bb08f624c2ab4e26ba979e45a75ede35_R_130_130.jpg,RF Pretty Hotel
4.3,//dimg11.c-ctrip.com/images/hotel/483000/482541/177b5fbe927b4c54aa4b476be88198db_R_130_130.jpg,Green World SongJiang
3.9,//dimg10.c-ctrip.com/images/t1/hotel/1058000/1057725/46a783c25e2b49c2a296f37cd28cc82e_R_130_130.jpg,Hau Shuang Hotel
4.5,//dimg13.c-ctrip.com/images/t1/hotel/1442000/1441908/d6c293b6abeb4963a3cab5e20f194b21_R_130_130.jpg,AQUA BELLA HOTEL
4.0,//dimg10.c-ctrip.com/images/20070d0000006wzyx83A5_R_130_130.jpg,Shin-Shih Hotel coordinate
4.5,//dimg13.c-ctrip.com/images/fd/hotel/g6/M08/09/FA/CggYslb0ErSAKsWmAAIYKV9Y7OI580_R_130_130.jpg,SWIIO HOTEL
4.2,//dimg12.c-ctrip.com/images/fd/hotel/g2/M07/4B/8E/Cghzf1VuW5uAFV9MABVTmSn7aM8938_R_130_130.jpg,shihlinstayplus
4.8,//dimg11.c-ctrip.com/images/fd/hotel/g6/M09/5B/02/CggYtFcgcjaAUq2BAALPKdCrPN4549_R_130_130.jpg,Best Hostel
4.6,//dimg10.c-ctrip.com/images/200c0500000013x0t8167_R_130_130.jpg,Aloft Taipei Zhongshan
4.1,//dimg12.c-ctrip.com/images/2006060000001ygtyDB73_R_130_130.jpg,台北长春店
4.2,//dimg11.c-ctrip.com/images/200i0600000018yx4CA35_R_130_130.jpg,Taipei Metro Stay-Shihlin Stay
4.4,//dimg10.c-ctrip.com/images/200i0i0000009ce245E72_R_130_130.jpg,台北馆
4.8,//dimg12.c-ctrip.com/images/200u0h0000008s7jk1D8C_R_130_130.jpg,Place Inn Taipei
3.9,//dimg12.c-ctrip.com/images/200s070000002et5g58EA_R_130_130.jpg,One Plus One Hotel
4.0,//dimg13.c-ctrip.com/images/fd/hotel/g5/M00/C0/14/CggYr1b5WC-Ae007ACAah5YtRmQ143_R_130_130.jpg,Diary of Taipei Wanguo
3.9,//dimg13.c-ctrip.com/images/200j0a0000004cch82743_R_130_130.jpg,MEANDER Hostel
4.7,//dimg13.c-ctrip.com/images/fd/hotel/g4/M09/97/88/CggYHVYtzs2AbBC-AAGHp2zJeLI013_R_130_130.jpg,Taipei Discover Hostel
,//dimg13.c-ctrip.com/images/200g0i0000009dhz179F9_R_130_130.jpg,Hotelpoispois
4.7,//dimg13.c-ctrip.com/images/200h0h000000917po3068_R_130_130.jpg,Hotel Royal Beitou
4.6,//dimg11.c-ctrip.com/images/fd/hotel/g1/M03/D9/E0/CghzfFUSZwmAFasBAARqWPa1wAc038_R_130_130.jpg,NEOSOHO Work and Relax
